audio_file,annotation,high_f,low_f,start_time,end_time
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,79,34,22438.583,22441.653
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,72,25,22873.166,22876.127
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,64,28,22937.391,22940.786
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,77,27,23321.547,23324.617
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,68,36,23503.493,23506.202
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,71,30,23712.233,23715.736
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,76,41,23768.91,23771.799
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,69,35,23891.475,23893.931
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,77,30,24185.877,24188.766
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,70,17,24245.154,24249.849
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,69,27,24579.669,24584.436
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,73,23,25055.804,25061.222
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,78,28,25102.233,25106.133
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,86,39,25130.102,25133.244
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,80,38,26052.373,26055.19
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,78,32,28758.735,28761.696
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,78,32,28842.96,28845.127
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,79,26,28861.957,28867.193
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,64,32,28896.969,28900.725
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,77,28,29010.472,29013.578
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,77,27,29572.924,29576.464
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,83,35,29609.677,29612.603
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,77,29,29648.666,29651.88
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,71,35,29678.991,29681.592
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,68,24,29711.046,29713.502
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,79,35,30214.116,30217.186
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,72,32,30685.019,30689.316
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,71,33,30792.382,30795.308
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,72,40,30990.468,30992.924
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,67,28,31029.529,31032.996
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,68,26,31134.296,31137.149
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,84,32,31562.671,31566.355
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,85,28,31649.204,31653.502
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,75,34,31692.96,31696.463
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,99,27,31780.685,31784.296
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,91,27,31785.885,31789.172
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,76,45,62479.565,62482.491
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,109,28,66824.188,66827.366
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,78,47,67117.114,67119.714
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,85,49,71048.879,71051.299
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,93,38,71112.671,71115.344
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,76,42,71137.547,71139.894
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,70,40,71147.077,71150.797
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,101,35,71545.127,71547.33
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,85,44,79494.337,79496.793
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,67,18,79636.251,79640.549
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,64,25,80372.825,80376.544
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,71,34,81751.596,81755.497
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,80,43,81886.468,81890.802
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,91,45,82221.813,82224.883
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,62,22,82245.457,82248.707
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,69,21,82249.863,82253.005
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,84,33,82639.682,82642.355
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,74,26,93964.698,93968.924
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,75,32,99946.291,99949.722
L:\HARP_CNN\AB_classifier\labeled_data\xwavs/DCPP01A_d01_121109_191242.d100.x.wav,D,79,34,105993.0,105994.95
